LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
23.75,67.75,0.04,0.04,0.05,0.05,0.06,0.06,0.06,0.07,0.06,0.04,0.04,0.04,0.05
23.75,68.25,0.1,0.1,0.1,0.12,0.12,0.15,0.16,0.16,0.12,0.1,0.09,0.09,0.12
23.75,68.75,0.1,0.1,0.1,0.12,0.12,0.15,0.16,0.16,0.12,0.1,0.09,0.09,0.12
23.75,69.25,0.17,0.18,0.18,0.19,0.2,0.23,0.27,0.23,0.17,0.15,0.17,0.18,0.19
23.75,69.75,0.17,0.18,0.18,0.19,0.2,0.23,0.27,0.23,0.17,0.15,0.17,0.18,0.19
23.75,70.25,0.21,0.21,0.22,0.23,0.24,0.27,0.28,0.25,0.2,0.18,0.2,0.21,0.23
23.75,70.75,0.21,0.21,0.22,0.23,0.24,0.27,0.28,0.25,0.2,0.18,0.2,0.21,0.23
23.75,71.25,0.2,0.19,0.2,0.21,0.22,0.24,0.24,0.21,0.18,0.17,0.19,0.2,0.2
23.75,71.75,0.2,0.19,0.2,0.21,0.22,0.24,0.24,0.21,0.18,0.17,0.19,0.2,0.2
23.75,72.25,0.17,0.16,0.18,0.19,0.2,0.23,0.22,0.2,0.17,0.16,0.16,0.16,0.18
23.75,72.75,0.17,0.16,0.18,0.19,0.2,0.23,0.22,0.2,0.17,0.16,0.16,0.16,0.18
23.75,73.25,0.15,0.14,0.16,0.17,0.18,0.2,0.2,0.18,0.14,0.13,0.14,0.14,0.16
23.75,73.75,0.15,0.14,0.16,0.17,0.18,0.2,0.2,0.18,0.14,0.13,0.14,0.14,0.16
23.75,74.25,0.15,0.15,0.16,0.17,0.19,0.2,0.19,0.17,0.14,0.13,0.14,0.15,0.16
23.75,74.75,0.15,0.15,0.16,0.17,0.19,0.2,0.19,0.17,0.14,0.13,0.14,0.15,0.16
23.75,75.25,0.13,0.13,0.14,0.14,0.15,0.15,0.16,0.16,0.13,0.11,0.12,0.13,0.14
23.75,75.75,0.13,0.13,0.14,0.14,0.15,0.15,0.16,0.16,0.13,0.11,0.12,0.13,0.14
23.75,76.25,0.13,0.13,0.14,0.14,0.14,0.15,0.15,0.15,0.14,0.12,0.12,0.12,0.14
23.75,76.75,0.13,0.13,0.14,0.14,0.14,0.15,0.15,0.15,0.14,0.12,0.12,0.12,0.14
23.75,77.25,0.13,0.13,0.14,0.14,0.15,0.15,0.15,0.15,0.13,0.12,0.12,0.13,0.14
23.75,77.75,0.13,0.13,0.14,0.14,0.15,0.15,0.15,0.15,0.13,0.12,0.12,0.13,0.14
23.75,78.25,0.14,0.13,0.13,0.14,0.15,0.16,0.16,0.15,0.12,0.11,0.11,0.12,0.13
24.25,60.25,0.04,0.03,0.04,0.05,0.05,0.08,0.07,0.06,0.07,0.05,0.04,0.04,0.05
24.25,60.75,0.04,0.03,0.04,0.05,0.05,0.08,0.07,0.06,0.07,0.05,0.04,0.04,0.05
24.25,61.25,0.05,0.04,0.05,0.05,0.06,0.08,0.07,0.07,0.07,0.05,0.05,0.05,0.06
24.25,61.75,0.05,0.04,0.05,0.05,0.06,0.08,0.07,0.07,0.07,0.05,0.05,0.05,0.06
24.25,62.25,0.05,0.04,0.05,0.05,0.06,0.08,0.07,0.07,0.07,0.05,0.05,0.05,0.06
24.25,62.75,0.05,0.04,0.05,0.05,0.06,0.08,0.07,0.07,0.07,0.05,0.05,0.05,0.06
24.25,63.25,0.05,0.04,0.05,0.05,0.06,0.08,0.07,0.07,0.07,0.05,0.05,0.04,0.06
24.25,63.75,0.05,0.04,0.05,0.05,0.06,0.08,0.07,0.07,0.07,0.05,0.05,0.04,0.06
24.25,64.25,0.05,0.04,0.05,0.05,0.06,0.08,0.07,0.07,0.07,0.05,0.05,0.04,0.06
24.25,64.75,0.05,0.04,0.05,0.05,0.06,0.08,0.07,0.07,0.07,0.05,0.05,0.04,0.06
24.25,65.25,0.05,0.04,0.05,0.05,0.06,0.07,0.07,0.07,0.07,0.05,0.04,0.04,0.06
24.25,65.75,0.05,0.04,0.05,0.05,0.06,0.07,0.07,0.07,0.07,0.05,0.04,0.04,0.06
24.25,66.25,0.04,0.04,0.05,0.05,0.06,0.08,0.07,0.07,0.06,0.05,0.04,0.04,0.05
24.25,66.75,0.04,0.04,0.05,0.05,0.06,0.08,0.07,0.07,0.06,0.05,0.04,0.04,0.05
24.25,67.25,0.1,0.09,0.1,0.12,0.13,0.15,0.17,0.16,0.11,0.09,0.08,0.09,0.12
24.25,67.75,0.1,0.09,0.1,0.12,0.13,0.15,0.17,0.16,0.11,0.09,0.08,0.09,0.12
24.25,68.25,0.16,0.15,0.16,0.17,0.18,0.21,0.22,0.2,0.16,0.13,0.14,0.16,0.17
24.25,68.75,0.16,0.15,0.16,0.17,0.18,0.21,0.22,0.2,0.16,0.13,0.14,0.16,0.17
24.25,69.25,0.17,0.17,0.17,0.19,0.2,0.21,0.21,0.19,0.16,0.14,0.15,0.17,0.18
24.25,69.75,0.17,0.17,0.17,0.19,0.2,0.21,0.21,0.19,0.16,0.14,0.15,0.17,0.18
24.25,70.25,0.24,0.24,0.25,0.26,0.28,0.3,0.29,0.25,0.22,0.2,0.22,0.24,0.25
24.25,70.75,0.24,0.24,0.25,0.26,0.28,0.3,0.29,0.25,0.22,0.2,0.22,0.24,0.25
24.25,71.25,0.23,0.22,0.24,0.25,0.26,0.28,0.25,0.22,0.2,0.19,0.22,0.23,0.23
24.25,71.75,0.23,0.22,0.24,0.25,0.26,0.28,0.25,0.22,0.2,0.19,0.22,0.23,0.23
24.25,72.25,0.18,0.17,0.19,0.2,0.22,0.24,0.22,0.2,0.17,0.16,0.17,0.18,0.19
24.25,72.75,0.18,0.17,0.19,0.2,0.22,0.24,0.22,0.2,0.17,0.16,0.17,0.18,0.19
24.25,73.25,0.15,0.15,0.16,0.16,0.17,0.19,0.19,0.17,0.14,0.12,0.13,0.14,0.16
24.25,73.75,0.15,0.15,0.16,0.16,0.17,0.19,0.19,0.17,0.14,0.12,0.13,0.14,0.16
24.25,74.25,0.16,0.15,0.16,0.17,0.18,0.19,0.18,0.16,0.14,0.12,0.14,0.15,0.16
24.25,74.75,0.16,0.15,0.16,0.17,0.18,0.19,0.18,0.16,0.14,0.12,0.14,0.15,0.16
24.25,75.25,0.14,0.14,0.14,0.15,0.16,0.17,0.16,0.15,0.14,0.12,0.13,0.14,0.14
24.25,75.75,0.14,0.14,0.14,0.15,0.16,0.17,0.16,0.15,0.14,0.12,0.13,0.14,0.14
24.25,76.25,0.13,0.14,0.14,0.15,0.16,0.16,0.16,0.15,0.14,0.12,0.13,0.13,0.14
24.25,76.75,0.13,0.14,0.14,0.15,0.16,0.16,0.16,0.15,0.14,0.12,0.13,0.13,0.14
24.25,77.25,0.14,0.14,0.14,0.15,0.15,0.17,0.16,0.15,0.13,0.12,0.12,0.13,0.14
24.25,77.75,0.14,0.14,0.14,0.15,0.15,0.17,0.16,0.15,0.13,0.12,0.12,0.13,0.14
24.25,78.25,0.14,0.13,0.14,0.15,0.16,0.17,0.16,0.15,0.13,0.11,0.12,0.12,0.14
24.75,60.25,0.04,0.03,0.04,0.05,0.05,0.08,0.07,0.06,0.07,0.05,0.04,0.04,0.05
24.75,60.75,0.04,0.03,0.04,0.05,0.05,0.08,0.07,0.06,0.07,0.05,0.04,0.04,0.05
24.75,61.25,0.05,0.04,0.05,0.05,0.06,0.08,0.07,0.07,0.07,0.05,0.05,0.05,0.06
24.75,61.75,0.05,0.04,0.05,0.05,0.06,0.08,0.07,0.07,0.07,0.05,0.05,0.05,0.06
24.75,62.25,0.05,0.04,0.05,0.05,0.06,0.08,0.07,0.07,0.07,0.05,0.05,0.05,0.06
24.75,62.75,0.05,0.04,0.05,0.05,0.06,0.08,0.07,0.07,0.07,0.05,0.05,0.05,0.06
24.75,63.25,0.05,0.04,0.05,0.05,0.06,0.08,0.07,0.07,0.07,0.05,0.05,0.04,0.06
24.75,63.75,0.05,0.04,0.05,0.05,0.06,0.08,0.07,0.07,0.07,0.05,0.05,0.04,0.06
24.75,64.25,0.05,0.04,0.05,0.05,0.06,0.08,0.07,0.07,0.07,0.05,0.05,0.04,0.06
24.75,64.75,0.05,0.04,0.05,0.05,0.06,0.08,0.07,0.07,0.07,0.05,0.05,0.04,0.06
24.75,65.25,0.05,0.04,0.05,0.05,0.06,0.07,0.07,0.07,0.07,0.05,0.04,0.04,0.06
24.75,65.75,0.05,0.04,0.05,0.05,0.06,0.07,0.07,0.07,0.07,0.05,0.04,0.04,0.06
24.75,66.25,0.04,0.04,0.05,0.05,0.06,0.08,0.07,0.07,0.06,0.05,0.04,0.04,0.05
24.75,66.75,0.04,0.04,0.05,0.05,0.06,0.08,0.07,0.07,0.06,0.05,0.04,0.04,0.05
24.75,67.25,0.1,0.09,0.1,0.12,0.13,0.15,0.17,0.16,0.11,0.09,0.08,0.09,0.12
24.75,67.75,0.1,0.09,0.1,0.12,0.13,0.15,0.17,0.16,0.11,0.09,0.08,0.09,0.12
24.75,68.25,0.16,0.15,0.16,0.17,0.18,0.21,0.22,0.2,0.16,0.13,0.14,0.16,0.17
24.75,68.75,0.16,0.15,0.16,0.17,0.18,0.21,0.22,0.2,0.16,0.13,0.14,0.16,0.17
24.75,69.25,0.17,0.17,0.17,0.19,0.2,0.21,0.21,0.19,0.16,0.14,0.15,0.17,0.18
24.75,69.75,0.17,0.17,0.17,0.19,0.2,0.21,0.21,0.19,0.16,0.14,0.15,0.17,0.18
24.75,70.25,0.24,0.24,0.25,0.26,0.28,0.3,0.29,0.25,0.22,0.2,0.22,0.24,0.25
24.75,70.75,0.24,0.24,0.25,0.26,0.28,0.3,0.29,0.25,0.22,0.2,0.22,0.24,0.25
24.75,71.25,0.23,0.22,0.24,0.25,0.26,0.28,0.25,0.22,0.2,0.19,0.22,0.23,0.23
24.75,71.75,0.23,0.22,0.24,0.25,0.26,0.28,0.25,0.22,0.2,0.19,0.22,0.23,0.23
24.75,72.25,0.18,0.17,0.19,0.2,0.22,0.24,0.22,0.2,0.17,0.16,0.17,0.18,0.19
24.75,72.75,0.18,0.17,0.19,0.2,0.22,0.24,0.22,0.2,0.17,0.16,0.17,0.18,0.19
24.75,73.25,0.15,0.15,0.16,0.16,0.17,0.19,0.19,0.17,0.14,0.12,0.13,0.14,0.16
24.75,73.75,0.15,0.15,0.16,0.16,0.17,0.19,0.19,0.17,0.14,0.12,0.13,0.14,0.16
24.75,74.25,0.16,0.15,0.16,0.17,0.18,0.19,0.18,0.16,0.14,0.12,0.14,0.15,0.16
24.75,74.75,0.16,0.15,0.16,0.17,0.18,0.19,0.18,0.16,0.14,0.12,0.14,0.15,0.16
